Year,Adobe,Amazon,Amazon Prime,Apple Music,Disney+,ExpressVPN,Microsoft,Netflix,NordVPN,PurePlayer,Spotify,Youtube Premium
2016,,,,,,,,,,,,64.1
2018,38.1,38.9,,,,,,,,,,64.1
2019,,,,50.9,,,50.3,,,,33.8,50.0
2020,20.7,35.4,,41.2,31.5,,16.4,30.3,,14.3,23.1,55.7
2021,19.0,30.4,9.4,43.6,22.0,,15.1,28.3,,20.7,18.4,38.4
2022,24.9,20.2,7.7,40.2,26.1,,15.7,28.8,,21.0,21.4,32.6
2023,18.7,20.3,5.2,37.7,26.6,,16.5,27.6,,21.7,25.5,39.0
2024,14.8,,18.0,36.4,27.9,,16.3,23.3,60.0,,24.0,33.7
2025,15.2,,29.1,40.0,25.9,61.7,17.9,36.3,,,19.4,44.9
