Service,Switzerland,United States,Germany,United Kingdom,Poland,Turkey,Argentina,Brazil,Ukraine,Philippines,Pakistan
Adobe Creative Cloud,1.24,1.0,1.21,1.21,1.26,0.74,1.01,0.61,0.58,0.98,1.0
Amazon Prime,0.75,1.0,0.65,0.76,0.18,0.15,0.64,0.27,0.51,0.18,0.14
Apple Music,1.43,1.0,1.09,1.27,0.5,0.17,0.65,0.4,0.45,0.23,
Disney+,1.47,1.0,0.92,1.07,0.67,1.11,1.14,0.72,,0.35,
ExpressVPN,0.99,1.0,1.02,1.0,1.13,1.1,0.92,0.92,1.1,0.92,0.73
Microsoft 365,1.13,1.0,1.08,1.08,1.08,1.06,0.45,1.02,0.7,0.88,0.83
Netflix,1.44,1.0,0.85,0.78,0.68,0.52,1.0,0.5,0.45,0.45,0.16
NordVPN,1.09,1.0,1.09,0.97,0.85,1.01,0.44,0.44,1.01,0.9,0.81
Spotify,1.5,1.0,1.18,1.27,0.5,0.26,0.33,0.4,0.42,0.25,0.1
Xbox Game Pass,1.13,1.0,0.98,0.89,0.93,0.86,1.08,0.88,0.75,0.58,0.18
Youtube Premium,1.45,1.0,1.01,1.18,0.7,0.17,0.74,0.36,0.18,0.24,0.12
