Service,Content Licensing,General Terms,Legal Threat,Legitimate Portability,Price Discrimination,Privacy/Security,Regulatory Compliance,Security Risk,Technical Blocking,User Workaround
Adobe,0.1,97.77,0.13,0.0,0.54,0.03,1.4,0.03,0.0,0.0
Amazon Prime,2.71,93.71,0.19,0.0,0.12,0.0,2.65,0.56,0.06,0.0
Apple Music,2.11,93.98,0.6,0.0,0.15,0.38,2.18,0.45,0.15,0.0
Disney+,5.25,90.97,0.18,0.0,1.89,0.0,1.7,0.0,0.0,0.0
ExpressVPN,0.0,85.0,6.67,0.0,1.67,1.67,3.33,0.0,1.67,0.0
Microsoft,0.15,97.33,0.81,0.0,0.0,0.06,1.23,0.35,0.06,0.0
Netflix,4.42,91.43,0.14,0.07,1.25,0.0,2.65,0.0,0.03,0.0
NordVPN,0.0,89.09,5.45,0.0,0.0,0.0,0.0,5.45,0.0,0.0
Spotify,3.72,93.49,0.0,0.0,0.62,0.0,2.11,0.0,0.03,0.03
Youtube Premium,2.41,90.75,0.86,0.0,0.05,0.37,3.25,0.0,2.31,0.0
